KODE_SATKER,kd_lokasi2,AKUN,,,,,,,,,,,,,,,,,
kode lokasi satker default,KODE KPPN,AKUN,BA_Es1_Program,Kegiatan_Output,Sumber Dana_Cara Penarikan_No Register,Rekening Bank,Kewenangan, Lokasi1_Lokasi2 ,Tipe Anggaran,IntraCo,Cadangan,kode SubOutput,Kode Komponen,kode SubKomponen,Cons Item,,16 SEGMEN,12 SEGMEN,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,003,051,0A,000010,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.003.051.0A.000010 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.003 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,003,051,0A,000285,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.003.051.0A.000285 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.003 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,003,051,0A,000286,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.003.051.0A.000286 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.003 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000131,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000131 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000132,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000132 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000133,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000133 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000134,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000134 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000135,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000135 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000136,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000136 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000137,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000137 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000138,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000138 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000139,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000139 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000140,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000140 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
415432,182,525121,02404DG,6388CAB,F000000001,00000,2,0154,2,000000,000000,001,051,0A,000141,, 415432.182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001.051.0A.000141 , 182.525121.02404DG.6388CAB.F000000001.00000.2.0154.2.000000.000000.001 ,
